35993098000100,Z.A. DIGITAL DE SAO PAULO SISTEMA DE ESTACIONAMENTO ROTATIVO S.A.,ZAD SAO PAULO                           ,AV PRES JUSCELINO KUBITSCHEK,1830, ANDAR 2 BLOCO 3,VILA NOVA CONCEICAO,SÃO PAULO,,Brasil,65002199,,82.99-7-99 /74.90-1-04,,Lucro Real,,,,,,
15317154000189,ESTACIONAMENTO WEST SHOPPING RIO - SCP,SCP WEST SHOPPING RIO - INATIVO,EST DO MENDANHA,555,,CAMPO GRANDE ,RIO DE JANEIRO,,Brasil,6580262,,52.23-1-00,,Lucro Presumido,,,,,,
15317150000109,ESTACIONAMENTO CENTER SHOPPING RIO - SCP,SCP CENTER SHOPPING RIO,AV GEREMARIO DANTAS,404,,JACAREPAGUA ,RIO DE JANEIRO,,Brasil,60394784,,52.23-1-00,,Lucro Presumido,,,,,,
40.180.129/0001-43,ECOVAGAS CARREGADORES ELETRICOS LTDA,ECOVAGAS,AV PRES JUSCELINO KUBITSCHEK,1830,ANDAR 2 BLOCO 3,VILA NOVA CONCEICAO,SÃO PAULO ,,Brasil,67987850,130299654112,77.39-0-99,,Lucro Real,,,,,,
1024816000118,CONSORCIO TRIANON PARK,ORG PUB GARAGEM TRIANON,AL JAU,850,,JARDIM PAULISTA ,SÃO PAULO ,,Brasil,27578682,,64.93-0-00,,Lucro Real,,,,,,
97531160000107,CONSORCIO ESTACIONAMENTO SHOPPING ABC  ,SHOP ABC,AV PEREIRA BARRETO,42,,VILA GILDA ,SANTO ANDRÉ,,Brasil,205286,N/A,64.93-0-00,,Lucro Real,,,,,,
18451735000105,CONSORCIO ESTACIONAMENTO NOVO CENTRO,CONSORCIO NOVO CENTRO,R ANDRE DE BARROS,226,,CENTRO,CURITIBA,,Brasil,6718950,,64.93-0-00,,Lucro Real,,,,,,
15337491000138,CONSORCIO ESTACIONAMENTO CENTRO CIVICO ,CE COM CENTRO CIVICO,AV CANDIDO DE ABREU,70,,CENTRO CIVICO,CURITIBA,,Brasil,6380414,,64.93-0-00,,Lucro Real,,,,,,
924426000131,CONSORCIO DR ENEAS CARVALHO DE AGUIAR,CONSORCIO ENEAS,AV DR. ENEAS CARVALO DE AGUIAR,260,,JARDIM AMERICA ,SÃO PAULO ,,Brasil,26152673,,64.93-0-00,,Lucro Real,,,,,,
9372912000169,CELLOPARK ESTACIONAMENTOS LTDA.,NÃO POSSUI GARAGEM ,R CAMPOS SALES,371,,VILA BOCAINA ,MAUÁ,,Brasil,52938,,52.23-1-00,,Lucro Real,,,,,,
6149097000185,CCN CENTRO DE CONVENCOES LTDA. ,ORG PUB CONSORCIO CCN,AV PAULO DE FRONTIN,,,BAIRRO CIDADE NOVA ,RIO DE JANEIRO,,Brasil,"3573109
60289590_BAIXADA
60072264_BAIXADA",,68.22-6-00,,Lucro Real,,,,,,
6149097000266,CCN CENTRO DE CONVENCOES LTDA. ,CCN CENTRO DE CONVENCOES,R AFONSO CAVALCANTI ,,,CIDADE NOVA ,RIO DE JANEIRO,,Brasil,4039807,,68.22-6-00,,Lucro Real,RIO DE JANEIRO,,,,,
72605140001508,CAPITAL PARKING ESTAC DE VEÍCULO LTDA,INS EN UCB - CAMPUS I,Q QS 7 RUA 800,SN,,AREAL (AGUAS CLARAS) ,BRASÍLIA,,Brasil,N/A,734828701554,52.23-1-00,,Lucro Real,,,,,,
72605140001257,CAPITAL PARKING ESTAC DE VEÍCULO LTDA,SHOP PIER 21 - CAP,ST SCE/SUL ,SN,TRECHO 02 CONJUNTO 32 PARTE ESTACIONAMENTO, S/N ,ASA SUL71510 ,71510-055 ,,Brasil,N/A,734827001120,52.23-1-00,,Lucro Real,,,,,
72605140000102,CAPITAL PARKING ESTAC DE VEÍCULO LTDA,CAPITAL PARKING ESTAC. DE VEICULOS LTDA,ST SEP/SUL ,SN,EQ. 710/910 CONJUNTO D G1 2 SUBSOLO,ASA SUL,BRASÍLIA,,Brasil,N/A,734828700159,52.23-1-00,,Lucro Real,,,,,,
28556844000132,CALVITIUM ESTACIONAMENTO DE VEICULOS LTDA,SHOP SPAZIO OURO VERDE,"AV RUY RODRIGUEZ
 ",3900,,PARQUE UNIVERSITARIO DE VIRACOPOS ,CAMPINAS,,Brasil,5422280,,52.23-1-00,,Lucro Presumido,,,,,,
28556844000213,CALVITIUM ESTACIONAMENTO DE VEICULOS LTDA,ED COM BS DESIGN CORPORATE TOWERS       ,AV DESEMBARGADOR MOREIRA,1300,SUBSOLO,ALDEOTA                       ,FORTALEZA,,Brasil,5241588,,52.23-1-00,,Lucro Presumido,,,,,,
28556844000302,CALVITIUM ESTACIONAMENTO DE VEICULOS LTDA,ED COM BS TOWER FORTALEZA,RUA GONCALVES LEDO                ,777,,CENTRO                        ,FORTALEZA,,Brasil,5244501,,52.23-1-00,,Lucro Presumido,,,,,,
3734265000101,AUTOPARK S.A.  ,ORG PUB STA LUZIA,AV PRESIDENTE ANTONIO CARLOS,,,CENTRO,RIO DE JANEIRO,,Brasil,2751950,,52.23-1-00,,Lucro Real,,,,,,
18959721000199,AREA DE ESTACIONAMENTO HOSPITAL MARCELINO CHAMPAGNAT - SCP ,HOSP SCP MARCELINO CHAMPAGNAT,R PRESIDENTE AFONSO CAMARGO,1399, ANEXO AV SAO JOSE 233 ,CAJURU,CURITIBA,,Brasil,6800593,,52.23-1-00,,Lucro Presumido,,,,,,
44.475.576/0001-80,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S/A- SCP ESTACIONAMENTO MERCADAO DA BAHIA,SCP MERCADO DA BAHIA,1 TV LUIZ TARQUINIO PONTES,,GALPAOLOTEAMENTO 999,CENTRO,42702-430,,Brasil,10041492,,52.23-1-00,,Lucro Presumido,,,,,
42.228.336/0001-56,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S/A - SCP - ESTACIONAMENTO SHOPPING SETE LAGOAS,SCP SHOP SETE LAGOAS,AV OTAVIO CAMPELO RIBEIRO,,,ELDORADO,35702-153,,Brasil,3863476,,52.23-1-00,,Lucro Presumido,,,,,
31130689000100,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S/A - SCP - ESTACIONAMENTO DO SHOPPING MONTE CARMO,SHOP SCP MONTE CARMO,AV JUIZ MARCO TULIO ISAAC,,,INGA ALTO ,32604-345,,Brasil,1639470011,,52.23-1-00,,Lucro Presumido,,,,,
33613059000104,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S/A - SCP,SCP SHOP PARQUE ARACAJU,AV JOAO RODRIGUES,,,INDUSTRIAL,49065-450,,Brasil,1218097,,52.23-1-00,,Lucro Presumido,,,,,
33625959000171,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S/A - SCP,SCP SHOP PARQUE BAHIA,AV SANTOS DUMONT,,,CENTRO,42702-400,,Brasil,10035703,,52.23-1-00,,Lucro Presumido,,,,,
60537263119210,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,SHOP ESPACO JARDIM,R SANTA MADALENA SOFIA,,,CORACAO DE JESUS,30380-650,,Brasil,2707470591,,52.23-1-00,,Lucro Real,,,,,
60537263111669,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,INST ENS UCB - CAMPUS II,Q SGAN 916 ,,CONJ   B,ASA NORTE,70790-160,,Brasil,N/A,760133201226,52.23-1-00,,Lucro Real,,,,,
60537263108790,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,INST ENS UCB - CAMPUS I,Q QS 7 ,,EPCT S/N LOTE,AREAL (AGUAS CLARAS),71971-540,,Brasil,N/A,760133200173,52.23-1-00,,Lucro Real,,,,,
60537263104379,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,HOSP STA HELENA,ST SHLN,,CONJ   D PARTE,ASA NORTE,70770-560,,Brasil,N/A,760133201145,52.23-1-00,,Lucro Real,,,,,
60537263130701,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,CE MED SAO LUIZ MORUMBI,R ENG OSCAR AMERICANO,,,CIDADE JARDIM,05673-050,,Brasil,74161610,,52.23-1-00,,Lucro Real,,,,,
60537263089981,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,AERO BRASILIA,AER INTERNACIONAL DE BRASILIA ,,P. JUSCELINO KUBITSCHEK A.ESPEC,LAGO SUL,71608-900,,Brasil,N/A,760133201064,52.23-1-00,,Lucro Real,,,,,
60537263129282,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM RIVERVIEW,AV DR CHUCRI ZAIDAN,,,VILA CORDEIRO,04.583-916,,Brasil,73212601,,52.23-1-00,,Lucro Real,,,,,
60537263076499,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,HOSP DO CORACAO DO BRASIL,ST SHLS 716 ,, CONJUNTO G LOTE,ASA SUL,70390-903,,Brasil,N/A,760133200769,52.23-1-00,,Lucro Real,,,,,
60537263076308,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,HOSP STA LUZIA,ST SHLS 716 ,,CONJUNTO E ,ASA SUL,70390-903,,Brasil,N/A,760133200688,52.23-1-00,,Lucro Real,,,,,
60.537.263/0728-25,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,CE MED ADVANCE,ST SGAS ,,QUADRA 915,CENTRO CLINICO ADVANCE,70390-150,,Brasil,N/A,760133200416,52.23-1-00,,Lucro Real,,,,,
60537263072906,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM GAL ALENCASTRO,ST SEPS QUADRA 702 ,,CONJUNTO B S/N BLOCO A   B,ASA SUL,70390-025,,Brasil,N/A,760133200505,52.23-1-00,,Lucro Real,,,,,
60537263065373,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,CE MED VICTORIA MEDICAL CENTER,ST SHIS QI 15 LOTE O,,EDIF   VICTORIA MEDICAL CEN,LAGO SUL,71635-610,,Brasil,N/A,760133200254,52.23-1-00,,Lucro Real,,,,,
60.537.263/0654-54,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM PALACIO DA AGRICULTURA - W TORRE,ST SBN QUADRA 01 BLOCO F ,,EDIF   PALACIO DA AGRICULTU,ASA NORTE,70040-908,,Brasil,N/A,760133200335,52.23-1-00,,Lucro Real,,,,,
60537263118833,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM MOSTARDEIRO,R MOSTARDEIRO,,,MOINHOS DE VENTO,90430-000,,Brasil,30861926,,52.23-1-00,,Lucro Real,,,,,
60537263118752,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,TERR PADRE CHAGAS,R PADRE CHAGAS,,,MOINHOS DE VENTO,90570-080,,Brasil,30861721,,52.23-1-00,,Lucro Real,,,,,
60537263119562,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM MARTIN FIERRO,AV CARLOS GOMES,,,AUXILIADORA,90480-003,,Brasil,30954525,,52.23-1-00,,Lucro Real,,,,,
60537263119481,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM SIR WINSTON,R DOM PEDRO II,,,HIGIENOPOLIS,90550-143,,Brasil,30953928,,52.23-1-00,,Lucro Real,,,,,
60537263117519,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,CE MED DALLA VITA,RUA RAMIRO BARCELOS,,,MOINHOS DE VENTO,90035-005,,Brasil,30693527,,52.23-1-00,,Lucro Real,,,,,
60537263111154,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,SHOP LAJEADO,R ONZE DE JUNHO,,GARAGESUB-SOLO,SAO CRISTOVAO,95913-144,,Brasil,45176,,52.23-1-00,,Lucro Real,,,,,
60537263098387,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,LAZER SNOWLAND,EST RS 235 ,,SNOWLAND,,RS,95670-000,,Brasil,17830,,52.23-1-00,,Lucro Real,,,,
60537263097305,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,TERR CREMATORIO SAO JOSE,AV PROFESSOR OSCAR PEREIRA,,,AZENHA,90640-070,,Brasil,27748529,,52.23-1-00,,Lucro Real,,,,,
60537263096929,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,TERR CEMITERIO SAINT HILAIRE,AV SENADOR SALGADO FILHO,,,VIAMOPOLIS,94470-000,,Brasil,212766,,52.23-1-00,,Lucro Real,,,,,
60537263096848,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,TERR CEMITERIO MEMORIAL DA COLINA,AV FREDERICO AUGUSTO RITTER,,,DISTRITO INDUSTRIAL,94930-000,,Brasil,147572,,52.23-1-00,,Lucro Real,,,,,
60537263097143,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,TERR CEMITERIO CRISTO REI,AV TEODOMIRO PORTO DA FONSECA,,,CENTRO,93020-080,,Brasil,466525,,52.23-1-00,,Lucro Real,,,,,
60537263092770,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,INST EN UNIVATES,AV AVELINO TALLINI,,,UNIVERSITARIO,95900-000,,Brasil,38786,,52.23-1-00,,Lucro Real,,,,,
60537263091293,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ARENA DO GREMIO E2 - TERR,AV PADRE LEOPOLDO BRENTANO,,,HUMAITA,90250-590,,Brasil,27230228,,52.23-1-00,,Lucro Real,,,,,
60537263091102,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ARENA DO GREMIO E1,AV PADRE LEOPOLDO BRENTANO,,,HUMAITA,90250-590,,Brasil,27230023,,52.23-1-00,,Lucro Real,,,,,
60537263089710,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,HOTEL DEVILLE,AV DOS ESTADOS,,,SAO JOAO,90200-001,,Brasil,26987023,,52.23-1-00,,Lucro Real,,,,,
60537263089558,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,LAZER ESTADIO BEIRA RIO,AV PADRE CACIQUE,,,PRAIA DE BELAS,90810-240,,Brasil,26949725,,52.23-1-00,,Lucro Real,,,,,
60537263086451,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,SHOP GRAVATAI,AV CENTENARIO,,,PASSO DAS PEDRAS,94035-240,,Brasil,68807,,52.23-1-00,,Lucro Real,,,,,
60537263083274,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,TERR AEROPORTO POA,AV DAS INDUSTRIAS ,,,ANCHIETA,90200-290,,Brasil,26607425,,52.23-1-00,,Lucro Real,,,,,
60537263073392,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM DEGLI UFFIZI                     ,R PADRE CHAGAS,,,MOINHOS DE VENTO,90570-080,,Brasil,26219620,,52.23-1-00,,Lucro Real,,,,,
60537263071349,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,HOTEL LAGHETTO,R MIGUEL TOSTES ,,,RIO BRANCO,90430-060,,Brasil,26049520,,52.23-1-00,,Lucro Real,,,,,
60537263059306,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,INST EN UNIVATES - INATIVO,AV SANTOS FERREIRA ,,,CENTRO,92030-000,,Brasil,80817,,52.23-1-00,,Lucro Real,,,,,
60537263052719,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ADMINISTRACAO E SERVICOS - RS,AV DAS INDUSTRIAS,,,ANCHIETA,90200-290,,Brasil,25525328,,52.23-1-00,,Lucro Real,,,,,
60537263050856,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED GAR AUXILIADORA - EASY,R CORONEL VICENTE,,,CENTRO,90030-040,,Brasil,25378325,,52.23-1-00,,Lucro Real,,,,,
60537263044376,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,SHOP BENTO GONCALVES - MAIS,R MARECHAL DEODORO,,,CENTRO,95700-010,,Brasil,31151,,52.23-1-00,,Lucro Real,,,,,
60537263044104,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,INST EN LA SALLE 1 - MAIS,AV VICTOR BARRETOS,,,CENTRO,92010-000,,Brasil,77545,,52.23-1-00,,Lucro Real,,,,,
60537263044023,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,LA SALLE 2 - MAIS,R QUINZE DE JANEIRO,,,CENTRO,92010-300,,Brasil,77544,,52.23-1-00,,Lucro Real,,,,,
60537263092427,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM HELBOR OFFICES JOINVILLE,R HENRIQUE MEYER,,EDIF: COM HELBOR OFFICES J,,SC,89201-405,,Brasil,141104,,52.23-1-00,,Lucro Real,,,,
60537263090564,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,INST EN UNIVILLE BOM RETIRO - PUC,R PAULO MALSCHITZKI,,,ZONA INDUSTRIAL NORTE,89219-710,,Brasil,140142,,52.23-1-00,,Lucro Real,,,,,
60537263090483,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,HOSP UNIMED BC - PUC,AV DO ESTADO,,,ARIRIBA,88338-640,,Brasil,159789,,52.23-1-00,,Lucro Real,,,,,
60537263056625,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ADMINISTRACAO E SERVICOS - SC,R JOSE PAULO DA SILVA,,CASA 2 BOX 8,CENTRO,88302-110,,Brasil,298989,,52.23-1-00,,Lucro Real,,,,,
60537263056030,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,SHOP FLORIPA - PUC,ROD SC 401,,ANEXO SHOPPING,SACO GRANDE,88032-005,,Brasil,4835735,,52.23-1-00,,Lucro Real,,,,,
60537263055815,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,INST EN UNIFEBE - PUC,R DORVAL LUZ,,,SANTA TEREZINHA,88352-400,,Brasil,64571,,52.23-1-00,,Lucro Real,,,,,
60537263055572,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,INST EN UNIVALI ITAJAI - PUC,R URUGUAI ,,,CENTRO,88302-202,,Brasil,297759,,52.23-1-00,,Lucro Real,,,,,
60537263055491,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,TERR RODOVIARIA BC - PUC,AV SANTA CATARINA ,,,DOS ESTADOS,88339-005,,Brasil,158603,,52.23-1-00,,Lucro Real,,,,,
60537263055300,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,INST EN UNIVALI CAMBORIU - PUC,AV QUINTA AVENIDA,,,DOS MUNICIPIOS,88337-300,,Brasil,156851,,52.23-1-00,,Lucro Real,,,,,
60537263023530,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED GAR FLORES - GRP,R EBANO PEREIRA,,,CENTRO,80410-902,,Brasil,11015528191,,52.23-1-00,,Lucro Real,,,,,
60537263023450,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED GAR BARAO - GRP,R JOSE LOUREIRO,,,CENTRO,80010-000,,Brasil,5528174,,52.23-1-00,,Lucro Real,,,,,
60537263019690,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM DESEMBARGADOR - GRP,R DESEMBARGADOR MOTTA,,,CENTRO,80420-190,,Brasil,5397490,,52.23-1-00,,Lucro Real,,,,,
60537263019509,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED GAR MARECHAL - GRP,R MARECHAL DEODORO ,,,CENTRO,80060-010,,Brasil,5361007,,52.23-1-00,,Lucro Real,,,,,
60537263019770,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM VISCONDE DE NACAR BATISTA,R VISCONDE DE NACAR ,,,CENTRO,80410-201,,Brasil,6396475,,52.23-1-00,,Lucro Real,,,,,
60537263115303,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM LE MONDE,R GUARANI ,,COM LE MONDE,ZONA 04,87014-040,,Brasil,212052,,52.23-1-00,,Lucro Real,,,,,
60537263113793,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM HELBOR STAY BATEL,AV SILVA JARDIM,,,AGUA VERDE,80240-020,,Brasil,8186709,,52.23-1-00,,Lucro Real,,,,,
60537263111740,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM BATEL 1550 WORK,AV DO BATEL ,,LOJA,BATEL,80420-090,,Brasil,8058782,,52.23-1-00,,Lucro Real,,,,,
60537263110182,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM JOAO GUALBERTO 1000,AV JOAO GUALBERTO,,,ALTO DA GLORIA,80030-000,,Brasil,7974976,,52.23-1-00,,Lucro Real,,,,,
60537263106150,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,INATIVA - ED GAR GLORIA,R DO ROSARIO,,,CENTRO,80020-110,,Brasil,7721422_BAIXADA,,52.23-1-00,,Lucro Real,,,,,
60537263105421,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM THE FIVE,R NUNES MACHADO ,,,CENTRO,80250-000,,Brasil,7670512,,52.23-1-00,,Lucro Real,,,,,
60537263103054,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,CE COM CENTRO CIVICO,AV CANDIDO DE ABREU,,,CENTRO CIVICO,80530-000,,Brasil,7439084,,52.23-1-00,,Lucro Real,,,,,
60537263105502,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM CHAMPAGNAT 2540,R PADRE ANCHIETA,,EDIF   COMERCIAL CHAMPAGNAT,BIGORRILHO,80730-000,,Brasil,7675173,,52.23-1-00,,Lucro Real,,,,,
60537263113955,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM VERSATILE OFFICE,R JOAO RODRIGUES PINHEIRO,,GARAGE194,CAPAO RASO,81130-180,,Brasil,8195698,,52.23-1-00,,Lucro Real,,,,,
60537263102597,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM HUB BUSINESS,R XV DE NOVEMBRO,,EDIF   COM HUB BUSINESS,CENTRO,80060-000,,Brasil,7395220,,52.23-1-00,,Lucro Real,,,,,
60537263101515,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,SHOP CIDADE MARINGA,AV TUIUTI ,,,VILA MORANGUEIRA,87040-900,,Brasil,173264,,52.23-1-00,,Lucro Real,,,,,
60537263092346,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,HOSP DO ROCIO,R MARIA APARECIDA DE OLIVEIRA,,,LOTEAMENTO SAO GERONIMO,83606-177,,Brasil,19009,,52.23-1-00,,Lucro Real,,,,,
60537263021678,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ADMINISTRACAO E SERVICOS - PR,R MARECHAL DEODORO,,ANDAR 5,CENTRO,80010-912,,Brasil,5481851,,52.23-1-00,,Lucro Real,,,,,
60537263082030,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM OFFICE LIFE ECOVILLE,R PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA ,,,CIDADE INDUSTRIAL DE CURITIBA,81280-330,,Brasil,6689173,,52.23-1-00,,Lucro Real,,,,,
60537263082200,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM NEO SUPERQUADRA,AV CANDIDO DE ABREU,,,CENTRO CIVICO,80530-000,,Brasil,6690733,,52.23-1-00,,Lucro Real,,,,,
60537263075093,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,ED COM HELBOR CHAMPAGNAT                ,R PADRE ANCHIETA ,,EDIF   HELBOR CHAMPAGNAT,BIGORRILHO,80730-000,,Brasil,6542323,,52.23-1-00,,Lucro Real,,,,,
60537263014388,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,NÃO POSSUI GARAGEM ,R JUDITH MAURICIO DE PAULA,, ITAPEMIRIM,TERESOPOLIS,25964-220,,Brasil,NÃO POSSUI CCM,,52.23-1-00,,Lucro Real,,,,,
60537263014035,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,TERR CASARAO TERESOPOLIS,R EDMUNDO BITTENCOURT ,,,TERESOPOLIS,25953-030,,Brasil,1182684,,52.23-1-00,,Lucro Real,,,,,
60537263014116,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,SHOP TERESOPOLIS,R EDMUNDO BITTENCOURT ,,,TERESOPOLIS,25953-030,,Brasil,1182676,,52.23-1-00,,Lucro Real,,,,,
60537263014205,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,BANCO BBD TERESOPOLIS,AV DELFIM MOREIRA,,,VARZEA,25953-230,,Brasil,1164707,,52.23-1-00,,Lucro Real,,,,,
60537263067317,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,TERR AEROPORTO CURITIBA 2,AV COMANDANTE AVIADOR JOSE PAULO LEPINSKI ,,,CRUZEIRO,83010-710,,Brasil,54834,,52.23-1-00,,Lucro Real,,,,,
60537263059489,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,INST EN POSITIVO,R PROFESSOR   PEDRO VIRIATO PARIGOT DE SOUZA ,,,CIDADE INDUSTRIAL,81280-330,,Brasil,6332231,,52.23-1-00,,Lucro Real,,,,,
60537263057273,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,TERR R VISCONDE DE GUARAPUAVA 3007,AV VISCONDE DE GUARAPUAVA ,,,CENTRO,80010-100,,Brasil,6300964,,52.23-1-00,,Lucro Real,,,,,
60537263049416,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,SCP - HOSP MARCELINO CHAMPAGNAT,AV SAO JOSE,,,CAJURU,80050-350,,Brasil,6093770,,52.23-1-00,,Lucro Presumido,,,,,
60537263042756,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,HOSP INFANTIL SAGRADA FAMILIA - GRP,AV JUSCELINO KUBISCHECK ,,,VILA IPIRANGA,86010-540,,Brasil,1823515,,52.23-1-00,,Lucro Real,,,,,
60537263044961,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,HOSP CENTRO ORTOPEDICO PARANA - GRP,AV DOUTOR LUIZ TEIXEIRA MENDES ,,,ZONA 04,87015-000,,Brasil,135740,,52.23-1-00,,Lucro Real,,,,,
60537263045003,ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A.,HOSP PARANA - GRP,R DAS CAMELIAS,,,ZONA 04,87060-020,,Brasil,138822,,52.23-1-00,,Lucro Real,,,,,
